date,cases,state
"2020-04-15",50,BB
"2020-04-16",52,BB
"2020-04-17",51,BB
"2020-04-18",58,BB
"2020-04-19",49,BB
"2020-04-20",55,BB
"2020-04-21",49,BB
"2020-04-22",52,BB
"2020-04-23",51,BB
"2020-04-24",52,BB
"2020-04-25",49,BB
"2020-04-26",50,BB
"2020-04-27",50,BB
"2020-04-28",41,BB
"2020-04-29",39,BB
"2020-04-30",37,BB
"2020-05-01",36,BB
"2020-05-02",30,BB
"2020-05-03",28,BB
"2020-05-04",29,BB
"2020-05-05",28,BB
"2020-05-06",33,BB
"2020-05-07",26,BB
"2020-05-08",24,BB
"2020-05-09",24,BB
"2020-05-10",26,BB
"2020-05-11",24,BB
"2020-05-12",31,BB
"2020-05-13",29,BB
"2020-05-14",26,BB
"2020-05-15",28,BB
"2020-05-16",21,BB
"2020-05-17",22,BB
"2020-05-18",22,BB
"2020-05-19",21,BB
"2020-05-20",25,BB
"2020-05-21",21,BB
"2020-05-22",19,BB
"2020-05-23",15,BB
"2020-05-24",15,BB
"2020-05-25",17,BB
"2020-05-26",19,BB
"2020-05-27",14,BB
"2020-05-28",13,BB
"2020-05-29",11,BB
"2020-05-30",12,BB
"2020-05-31",11,BB
"2020-06-01",11,BB
"2020-06-02",11,BB
"2020-06-03",8,BB
"2020-06-04",7,BB
"2020-06-05",9,BB
"2020-06-06",7,BB
"2020-06-07",5,BB
"2020-06-08",6,BB
"2020-06-09",4,BB
"2020-06-10",4,BB
"2020-06-11",3,BB
"2020-06-12",3,BB
"2020-06-13",3,BB
"2020-06-14",5,BB
"2020-06-15",4,BB
"2020-06-16",5,BB
"2020-06-17",4,BB
"2020-06-18",3,BB
"2020-06-19",3,BB
"2020-06-20",3,BB
"2020-06-21",3,BB
"2020-06-22",4,BB
"2020-06-23",5,BB
"2020-06-24",4,BB
"2020-06-25",5,BB
"2020-06-26",2,BB
"2020-06-27",3,BB
"2020-06-28",5,BB
"2020-06-29",5,BB
"2020-06-30",6,BB
"2020-07-01",6,BB
"2020-07-02",3,BB
"2020-07-03",6,BB
"2020-07-04",4,BB
"2020-07-05",4,BB
"2020-07-06",4,BB
"2020-07-07",3,BB
"2020-07-08",3,BB
"2020-07-09",4,BB
"2020-07-10",5,BB
"2020-07-11",4,BB
"2020-07-12",5,BB
"2020-07-13",5,BB
"2020-07-14",5,BB
"2020-07-15",3,BB
"2020-07-16",3,BB
"2020-07-17",2,BB
"2020-07-18",2,BB
"2020-07-19",2,BB
"2020-07-20",3,BB
"2020-07-21",3,BB
"2020-07-22",2,BB
"2020-07-23",2,BB
"2020-07-24",2,BB
"2020-07-25",1,BB
"2020-07-26",3,BB
"2020-07-27",2,BB
"2020-07-28",2,BB
"2020-07-29",1,BB
"2020-07-30",1,BB
"2020-07-31",1,BB
"2020-08-01",1,BB
"2020-08-02",1,BB
"2020-08-03",1,BB
"2020-08-04",5,BB
"2020-08-05",8,BB
"2020-08-06",6,BB
"2020-08-07",5,BB
"2020-08-08",4,BB
"2020-08-09",5,BB
"2020-08-10",5,BB
"2020-08-11",3,BB
"2020-08-12",4,BB
"2020-08-13",4,BB
"2020-08-14",2,BB
"2020-08-15",1,BB
"2020-08-16",2,BB
"2020-08-17",1,BB
"2020-08-18",1,BB
"2020-08-19",1,BB
"2020-08-20",3,BB
"2020-08-21",2,BB
"2020-08-22",3,BB
"2020-08-23",2,BB
"2020-08-24",3,BB
"2020-08-25",1,BB
"2020-08-26",3,BB
"2020-08-27",1,BB
"2020-08-28",2,BB
"2020-08-29",3,BB
"2020-08-30",2,BB
"2020-08-31",1,BB
"2020-09-01",0,BB
"2020-09-02",0,BB
"2020-09-03",0,BB
"2020-09-04",1,BB
"2020-09-05",2,BB
"2020-09-06",1,BB
"2020-09-07",1,BB
"2020-09-08",2,BB
"2020-09-09",0,BB
"2020-09-10",0,BB
"2020-09-11",0,BB
"2020-09-12",1,BB
"2020-09-13",1,BB
"2020-09-14",1,BB
"2020-09-15",0,BB
"2020-09-16",0,BB
"2020-09-17",0,BB
"2020-09-18",0,BB
"2020-09-19",2,BB
"2020-09-20",2,BB
"2020-09-21",2,BB
"2020-09-22",1,BB
"2020-09-23",0,BB
"2020-09-24",1,BB
"2020-09-25",1,BB
"2020-09-26",2,BB
"2020-09-27",2,BB
"2020-09-28",2,BB
"2020-09-29",3,BB
"2020-09-30",4,BB
"2020-10-01",4,BB
"2020-10-02",5,BB
"2020-10-03",4,BB
"2020-10-04",5,BB
"2020-10-05",5,BB
"2020-10-06",4,BB
"2020-10-07",5,BB
"2020-10-08",5,BB
"2020-10-09",6,BB
"2020-10-10",6,BB
"2020-10-11",10,BB
"2020-10-12",9,BB
"2020-10-13",8,BB
"2020-10-14",8,BB
"2020-10-15",9,BB
"2020-10-16",14,BB
"2020-10-17",12,BB
"2020-10-18",20,BB
"2020-10-19",22,BB
"2020-10-20",22,BB
"2020-10-21",29,BB
"2020-10-22",32,BB
"2020-10-23",34,BB
"2020-10-24",31,BB
"2020-10-25",31,BB
"2020-10-26",34,BB
"2020-10-27",32,BB
"2020-10-28",32,BB
"2020-10-29",36,BB
"2020-10-30",46,BB
"2020-10-31",41,BB
"2020-11-01",46,BB
"2020-11-02",58,BB
"2020-11-03",70,BB
"2020-11-04",71,BB
"2020-04-15",127,BE
"2020-04-16",131,BE
"2020-04-17",139,BE
"2020-04-18",131,BE
"2020-04-19",135,BE
"2020-04-20",156,BE
"2020-04-21",153,BE
"2020-04-22",150,BE
"2020-04-23",143,BE
